"Type","Category","Type of Vehicles","Agra (31.3.2016)","Ahmedabad (31.3.2016)","Allahabad (31.3.2016)","Alappuzha (31.3.2016)","Aurangabad (31.3.2016)","Bengaluru (31.3.2016)","Bhopal (31.3.2016)","Chandigarh (31.3.2016)","Chennai (31.3.2016)","Coimbatore (31.3.2016)","Delhi (31.3.2015)","Dhanbad (31.3.2016)","Durg-Bhilai (31.3.2016)","Ghaziabad (31.3.2016)","Greater Mumbai (31.3.2016)","Gwalior (31.3.2016)","Hyderabad (31.3.2015)","Indore (31.3.2016)","Jabalpur (31.3.2016)","Jaipur (31.3.2016)","Jamshedpur (31.3.2016)","Jodhpur (31.3.2016)","Kannur (31.3.2016)","Kanpur (31.3.2016)","Kochi (31.3.2016)","Kolkata (31.3.2016)","Kollam (31.3.2016)","Kota (31.3.2016)","Kozhikode (31.3.2016)","Lucknow (31.3.2016)","Madurai (31.3.2016)","Malappuram (31.3.2016)","Meerut (31.3.2016)","Nagpur (31.3.2016)","Nashik (31.3.2016)","Palakkad (31.3.2016)","Patna (31.3.2016)","Pune (31.3.2016)","Raipur (31.3.2016)","Rajkot (31.3.2016)","Ranchi (31.3.2016)","Srinagar (31.3.2016)","Surat (31.3.2016)","Trichy (31.3.2016)","Thiruvanathapuram (31.3.2016)","Thrissur (31.3.2016)","Varanasi (31.3.2016)","Vijayawada (31.3.2016)","Vadodara (31.3.2016)","Visakhapatnam (31.3.2016)","Note of Ahmedabad (31.3.2016)","Note of Alappuzha (31.3.2016)","Note of Aurangabad (31.3.2016)","Note of Bengaluru (31.3.2016)","Note of Chandigarh (31.3.2016)","Note of Delhi (31.3.2015)","Note of Greater Mumbai (31.3.2016)","Note of Kolkata (31.3.2016)","Note of Nagpur (31.3.2016)","Note of Nashik (31.3.2016)","Note of Rajkot (31.3.2016)","Note of Surat (31.3.2016)","Note of Vadodara (31.3.2016)"
"Transport","I. Multiaxled/Articulated vehicles","I. Multiaxled/Articulated vehicles","120","3412","7042","668","0","39041","3651","0","43294","2484","0","0","743","1313","11","5634","853","24198","5971","NA","17","NA","1509","270","1831","NA","773","NA","1570","3528","852","5999","835","1251","37","1732","3826","3275","6327","1859","0","0","962","2443","1222","2985","4376","2049","8442","1799","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","II. Trucks & Lorries","II. Trucks & Lorries","4224","39222","8421","2733","5300","59086","7456","1870","62351","12956","7503","26654","15401","4648","8171","6551","24888","30384","7399","83262","503","56782","2404","26155","5637","NA","3394","19664","5437","8422","13301","5082","6596","15573","6131","3138","33106","22548","52145","27353","5627","13056","29709","11136","4884","4349","8378","23212","26253","10775","NA","NA","*","NA","NA","NA","NA","*","*","*","NA","NA","NA"
"Transport","III. Light Motor Vehicles (Goods)","a) Four wheelers","5902","38142","12764","4969","10093","70970","14532","6013","69209","13160","NA","8768","9361","8651","27611","7284","45423","29000","10372","5742","743","3155","5410","4202","11439","NA","6858","1465","7799","17589","9090","10302","6952","20087","14236","4584","5105","31669","19888","22196","8986","4900","26423","5677","8194","7270","14815","9630","27937","8259","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","III. Light Motor Vehicles (Goods)","b) Three wheelers","12052","60358","4655","2232","12158","42352","8828","2785","22148","7675","62558","2291","3679","1177","36998","2688","14183","13327","6743","14611","447","10273","3188","4065","5868","NA","4091","1872","6462","3408","3392","6406","754","10398","5904","3605","4746","25001","5411","30428","1286","7143","35972","8860","4541","6043","6895","8400","19538","3318","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","III. Total (Light Motor Vehicles (Goods))","III. Total (Light Motor Vehicles (Goods))","17954","98500","17419","7201","22251","113322","23360","8798","91357","20835","145903","11059","13040","9828","64609","9972","59606","42327","17115","20353","1190","13428","8598","8267","17307","22878","10949","3337","14261","20997","12482","16708","7706","30485","20140","8189","9851","56670","25299","52624","10272","12043","62395","14537","12735","13313","21710","18030","47475","11577","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Transport","IV. Buses","a) Stage carriages","655","20556","571","529","2277","14485","450","519","9589","2923","1548","856","938","215","4450","523","4352","97","238","NA","79","NA","1588","100","1177","NA","716","NA","1812","172","3181","1904","704","1739","470","982","NA","2082","1089","391","1771","4970","205","2928","4069","2603","1733","1724","159","1128","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","IV. Buses","b) Contract carriages","299","6041","164","1504","557","1622","0","164","14364","582","6823","0","103","624","5201","0","804","1","0","NA","NA","NA","1307","106","3283","NA","1960","NA","1640","11","183","1707","299","1111","685","1548","NA","5198","269","3483","63730","0","1986","157","4453","2456","436","473","3184","568","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","IV. Buses","c) Private Service Vehicles","298","2393","258","96","807","10347","469","908","3787","1366","0","0","6947","1070","1103","573","727","718","38","NA","NA","NA","101","12","471","NA","101","NA","150","114","468","51","0","1334","100","118","NA","1043","12127","2960","0","2090","1042","172","1288","246","1598","174","2122","263","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","IV. Buses","d) Other buses","292","1635","1301","0","409","5412","4274","1138","13814","3576","11324","606","272","1607","3323","2192","3414","5403","1860","NA","NA","NA","0","803","NA","NA","1","NA","NA","3020","2874","0","1504","1755","377","0","NA","1792","341","972","NA","454","1246","1510","0","NA","1823","1775","485","1175","NA","NA","**","NA","NA","NA","**","*","**","**","NA","NA","NA"
"Transport","IV. Total (Buses)","IV. Total (Buses)","1544","30625","2294","2129","4050","40570","5193","2729","41554","8447","19695","1462","8260","3516","14077","3288","9297","6219","2136","24338","79","7905","2996","1021","4931","6020","2778","3773","3602","3317","6706","3662","2507","5939","1632","2648","7627","10115","13826","7806","65501","7514","4479","4767","9810","5305","5590","4146","5950","3134","NA","NA","NA","$","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Transport","V. Taxis","a) Motor cabs","1310","14644","2611","2693","0","64594","8241","1194","77342","17572","NA","0","1042","4531","50584","743","15645","4661","3112","NA","NA","NA","1456","710","4906","NA","1605","NA","3348","6698","12029","1933","1225","13","1040","1417","NA","221","4942","2358","1047","0","3224","7151","3098","3526","4555","5425","8894","2635","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","V. Taxis","b) Maxi cabs","156","5455","257","0","1052","32715","1886","451","33914","5681","NA","0","184","275","37229","863","3783","1704","1525","NA","323","NA","0","305","0","NA","0","NA","0","538","5174","0","158","4394","1631","0","NA","7940","429","0","3543","7262","1184","2884","0","0","185","1306","4788","1991","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","V. Taxis","c) Other taxis","152","NA","0","128","0","10867","0","202","2256","483","NA","8333","0","323","0","0","3445","0","0","NA","NA","NA","725","0","297","NA","235","NA","277","2263","479","124","22","0","0","141","NA","NA","0","NA","563","2213","NA","141","988","207","2598","781","0","3646","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","V. Total (Taxis)","V. Total (Taxis)","1618","20099","2868","2821","1052","108176","10127","1847","113512","23736","62405","8333","1226","5129","87813","1606","22873","6365","4637","31939","323","11289","2181","1015","5203","49098","1840","3986","3625","9499","17682","2057","1405","4407","2671","1558","15236","8161","5371","7138","5153","9475","4408","10176","4086","3733","7338","7512","13682","8272","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Transport","VI. Light Motor Vehicles (Passengers)","a) Three seaters","0","NA","5292","NA","10765","162932","12465","4521","109562","16626","0","15252","2170","18367","119245","8126","NA","19455","7107","27448","NA","12854","0","3379","0","NA","0","9749","0","4397","21180","0","4860","14904","15962","NA","NA","36899","11310","NA","25146","11979","NA","10257","33257","0","14116","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","VI. Light Motor Vehicles (Passengers)","b) Four to six seaters","7375","NA","8839","10990","0","30123","1642","0","9236","785","NA","0","3379","2884","0","2399","87370","1982","450","6128","280","2316","12827","3387","16910","NA","18023","3366","20458","3170","905","28199","3256","0","0","15846","NA","NA","1149","NA","1148","0","NA","524","NA","23371","2580","28493","NA","35453","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Transport","VI. Total (Light Motor Vehicles (Passengers))","VI. Total (Light Motor Vehicles (Passengers))","7375","169254","14131","10990","10765","193055","14107","4521","118798","17411","11301","15252","5549","21251","119245","10525","87370","21437","7557","33576","280","15170","12827","6766","16910","20684","18023","13115","20458","7567","22085","28199","8116","14904","15962","15846","53901","36899","12459","27554","26294","11979","96014","10781","33257","23371","16696","28493","66160","35453","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Transport","VII. Motor cycles On Hire","VII. Motor cycles On Hire","0","NA","0","0","0","NA","71","0","NA","0","0","0","0","0","NA","37","3","191","0","NA","0","NA","0","0","0","0","0","NA","NA","0","0","NA","0","NA","NA","0","NA","NA","0","0","0","NA","NA","0","NA","NA","0","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Transport","Total Transport (I to VII)","Total Transport (I to VII)","32835","361112","52175","28034","43418","597521","63965","19765","470866","85869","354665","62760","44219","45685","293926","37613","204890","131121","44815","193468","2392","104574","32113","43494","51819","98680","39346","43875","51030","53330","73108","64259","27165","72559","46573","34628","123547","137668","115427","124334","112847","54067","197967","53840","69783","55722","64088","83442","167962","71010","NA","NA","NA","^^","NA","# #","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","I. Two wheelers","a) Scooters","77096","2300290","108749","NA","341555","NA","261563","NA","726727","334884","NA","27215","474061","166924","569737","178972","0","479644","170391","NA","15615","NA","NA","268314","0","NA","NA","NA","0","388822","126636","NA","100711","344553","98578","NA","NA","372978","650548","1137301","97572","27684","1846541","100280","0","0","102232","0","1054758","0","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Non-Transport","I. Two wheelers","b) Mopeds","8261","292826","50989","NA","19048","NA","25260","NA","595727","323128","105271","1338","119188","25293","33915","39636","39801","51203","40810","NA","1929","NA","NA","39701","0","NA","NA","NA","0","71702","138350","NA","13978","283427","26528","NA","815","160136","115396","277552","22766","6087","226284","252613","0","0","40248","48746","372276","1878","NA","NA","NA","NA","NA","NA","NA","*","NA","NA","NA","NA","NA"
"Non-Transport","I. Two wheelers","c) Motor cycles","668856","NA","654023","137675","298564","NA","491645","NA","2193608","889383","5592971","429002","89105","409154","1024668","283608","1667913","821396","308290","NA","31465","NA","128242","928428","295726","NA","197433","NA","312351","1001345","528524","166563","338423","594711","377281","174798","787254","1367143","160888","NA","204902","84145","NA","284068","372164","247786","472388","440485","NA","610432","***","NA","NA","NA","NA","^","NA","*","NA","NA","***","***","***"
"Non-Transport","I. Total (Two Wheelers)","I. Total (Two Wheelers)","754213","2593116","813761","137675","659167","4222676","778468","NA","3516062","1547395","5698242","457555","682354","601371","1628320","502216","1707714","1352243","519491","1773513","49009","696293","128242","1236443","295726","313508","197433","558021","312351","1461869","793510","166563","453112","1222691","502387","174798","788069","1900257","926832","1414853","325240","117916","2072825","636961","372164","247786","614868","489231","1427034","612310","NA","NA","NA","NA","&","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","II. Cars","II. Cars","80043","578846","80305","29499","22349","1191541","180564","NA","860932","232751","2730071","63746","54138","168705","857708","56207","402334","260756","71311","333587","5554","74551","49107","158417","145470","327388","63970","56609","77119","246766","68804","65559","73448","126684","69744","38031","150078","407335","93145","175747","71206","90639","342869","58712","164658","80189","56146","59517","226411","87161","NA","NA","NA","NA","&","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","III. Jeeps","III. Jeeps","6639","30831","79888","NA","11896","7485","8448","NA","12584","5684","67144","12059","1655","3286","32310","4006","7089","4387","2479","71618","1091","28758","NA","80844","0","NA","0","16819","0","26082","1607","NA","625","36778","10884","0","33630","34304","1531","4978","19941","6151","17580","1002","0","0","14551","1032","17783","1394","NA","NA","NA","NA","&","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","IV. Omni buses","IV. Omni buses","4281","NA","53","NA","183","48392","16948","NA","8795","309","5","0","1093","858","3868","5718","22322","29170","9125","NA","0","NA","NA","9271","0","NA","0","NA","NA","440","79","NA","14","842","78","0","NA","718","1812","NA","1506","0","NA","78","0","0","80","2130","NA","2225","NA","$$","NA","NA","&","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","V. Tractors","V. Tractors","43102","52101","31152","272","9445","9830","10262","NA","2757","9445","100","4273","20257","18972","203","23784","1330","26844","12394","48496","319","64339","75","13495","346","94","105","26733","136","23744","7069","587","11217","5569","34206","1507","23047","18896","40001","42765","11221","1767","19322","6309","308","905","16862","8011","33300","1216","NA","NA","NA","NA","&","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","VI. Trailers","VI. Trailers","116","28601","10","0","5960","7694","73","NA","11774","1224","0","3701","10687","0","96","0","40","96","0","2911","286","8679","0","196","0","NA","0","8618","0","1724","2243","0","27","5437","7855","0","13458","10305","28077","33702","4454","111","11068","1522","0","0","9357","5665","17475","105","NA","NA","NA","NA","&","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","VII. Other vehicles not covered","VII. Other vehicles not covered","1472","11241","2435","2323","2255","27738","1882","817172","54218","21233","493","105","2343","854","3221","4680","23099","6126","3227","NA","0","NA","3801","3","7986","1209","3436","NA","4726","4140","10121","6815","1097","4657","5337","3513","4246","9150","6403","7319","66360","1717","3963","5915","8769","5505","1178","13990","5185","7169","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Non-Transport","Total Non-Transport (I to VII)","Total Non-Transport (I to VII)","889866","3294736","1007604","169769","711255","5515356","996645","817172","4467122","1818041","8496055","541439","772527","794046","2525726","596611","2163928","1679622","618027","2230125","56259","872620","181225","1498669","449528","642199","264944","666800","394332","1764765","883433","239524","539540","1402658","630491","217849","1012528","2380965","1097801","1679364","499928","218301","2467627","710499","545899","334385","713042","579576","1727188","711580","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
